name,time,addr,device,mean,rssi,sd,sequence_number
rssi,2024-04-02 13:53:06,e45f010a7b55,rasp0,-61,-61,0,3
rssi,2024-04-02 13:53:08,e45f010a7b55,rasp0,-63.5,-66,2.5,5
rssi,2024-04-02 13:53:09,e45f010a7b55,rasp0,-65,-68,2.94392028877595,6
rssi,2024-04-02 13:53:11,e45f010a7b55,rasp0,-61.5,-51,6.57647321898295,8
rssi,2024-04-02 13:53:15,e45f010a7b55,rasp0,-59.4,-51,7.22772439983706,12
rssi,2024-04-02 13:53:16,e45f010a7b55,rasp0,-57.1666666666667,-46,8.27479439153761,13
rssi,2024-04-02 13:53:17,e45f010a7b55,rasp0,-55.1428571428571,-43,9.12498252724075,14
rssi,2024-04-02 13:53:18,e45f010a7b55,rasp0,-53.5,-42,9.57862203033401,15
rssi,2024-04-02 13:53:20,e45f010a7b55,rasp0,-52.8888888888889,-48,9.19473816247876,17
rssi,2024-04-02 13:53:22,e45f010a7b55,rasp0,-53.2,-56,8.77268487978452,19
rssi,2024-04-02 13:53:23,e45f010a7b55,rasp0,-53,-59,8.61394218694321,20
rssi,2024-04-02 13:53:24,e45f010a7b55,rasp0,-51.7,-53,7.45721127500086,21
rssi,2024-04-02 13:53:26,e45f010a7b55,rasp0,-50.7,-58,5.65773806392625,23
rssi,2024-04-02 13:53:27,e45f010a7b55,rasp0,-51.6,-60,6.3118935352238,24
rssi,2024-04-02 13:55:08,e45f010a7b55,rasp0,-55,-55,0,2
rssi,2024-04-02 13:55:09,e45f010a7b55,rasp0,-55.5,-56,0.5,3
rssi,2024-04-02 13:55:10,e45f010a7b55,rasp0,-56.3333333333333,-58,1.24721912892465,4
rssi,2024-04-02 13:55:11,e45f010a7b55,rasp0,-56,-55,1.22474487139159,4
rssi,2024-04-02 13:55:14,e45f010a7b55,rasp0,-56.4,-58,1.35646599662505,8
rssi,2024-04-02 13:55:16,e45f010a7b55,rasp0,-54.6666666666667,-46,4.06885187191123,10
rssi,2024-04-02 13:55:17,e45f010a7b55,rasp0,-53.5714285714286,-47,4.6246897303539,11
rssi,2024-04-02 13:55:19,e45f010a7b55,rasp0,-52.875,-48,4.70206071845101,13
rssi,2024-04-02 13:55:22,e45f010a7b55,rasp0,-53,-54,4.44722135470878,16
rssi,2024-04-02 13:55:24,e45f010a7b55,rasp0,-53.5,-58,4.47772263544762,18
rssi,2024-04-02 13:55:27,e45f010a7b55,rasp0,-54.3,-63,5.3113086899558,21
rssi,2024-04-02 13:55:28,e45f010a7b55,rasp0,-54.4,-57,5.35163526410386,22
rssi,2024-04-02 13:55:29,e45f010a7b55,rasp0,-55.2,-66,6.33719180710194,23
rssi,2024-04-02 13:55:30,e45f010a7b55,rasp0,-55,-53,6.3718129288296,24
rssi,2024-04-02 13:56:35,e45f010a7b55,rasp0,-56,-56,0,1
rssi,2024-04-02 13:56:36,e45f010a7b55,rasp0,-58,-60,2,2
rssi,2024-04-02 13:56:38,e45f010a7b55,rasp0,-59.3333333333333,-62,2.49443825784929,4
rssi,2024-04-02 13:56:42,e45f010a7b55,rasp0,-62.5,-72,5.8949130612758,8
rssi,2024-04-02 13:56:43,e45f010a7b55,rasp0,-59.6,-48,7.83836717690617,9
rssi,2024-04-02 13:56:44,e45f010a7b55,rasp0,-63,-80,10.4403065089106,10
rssi,2024-04-02 13:56:45,e45f010a7b55,rasp0,-60,-42,12.1420167776433,11
rssi,2024-04-02 13:56:46,e45f010a7b55,rasp0,-58.75,-50,11.829518164321,12
rssi,2024-04-02 13:56:48,e45f010a7b55,rasp0,-56.7777777777778,-41,12.4702114191984,14
rssi,2024-04-02 13:56:49,e45f010a7b55,rasp0,-57.8,-67,12.2212928939618,15
rssi,2024-04-02 13:56:50,e45f010a7b55,rasp0,-57.5,-53,12.2983738762488,16
rssi,2024-04-02 13:56:51,e45f010a7b55,rasp0,-56.7,-52,12.3697210962899,17
rssi,2024-04-02 13:56:52,e45f010a7b55,rasp0,-57.2,-67,12.6712272491657,18
rssi,2024-04-02 13:56:53,e45f010a7b55,rasp0,-55.8,-58,11.694443124835,19
rssi,2024-04-02 13:56:57,e45f010a7b55,rasp0,-57,-60,11.4455231422596,23
rssi,2024-04-02 13:56:58,e45f010a7b55,rasp0,-54.5,-55,8.5,24
rssi,2024-04-02 13:56:59,e45f010a7b55,rasp0,-56.3,-60,7.51065909225016,25
